code,title,section,class,subclass,group,main_group
199611,189378,6,9.0,1,9.0,3.0
68262,143110,1,60.0,17,13.0,241.0
136181,183425,4,5.0,2,9.0,47.0
212524,169771,7,1.0,10,21.0,8221.0
31280,33242,1,1.0,3,3.0,30.0
169293,202719,6,1.0,8,1.0,4223.0
121419,155778,2,13.0,1,50.0,6.0
253990,87252,8,10.0,17,24.0,45869.0
124142,175543,2,30.0,1,11.0,65.0
8572,149208,0,45.0,3,40.0,205.0
46833,109161,1,25.0,1,27.0,12.0
234514,28646,7,4.0,10,2212.0,0.0
249736,59931,8,10.0,16,526.0,905.0
134261,95593,4,4.0,5,2201.0,27.0
241531,98199,7,4.0,19,16.0,16.0
223364,131968,7,1.0,14,1.0,285.0
198462,15806,6,7.0,3,2201.0,0.0
70215,67500,1,61.0,5,17.0,14.0
39736,31463,1,21.0,2,37.0,30.0
138284,16329,4,21.0,1,19.0,20.0
66721,105244,1,60.0,14,1.0,40.0
66716,121110,1,60.0,14,1.0,36.0
78979,55862,1,65.0,3,90.0,26.0
242482,106070,7,5.0,1,47.0,105.0
260356,32372,8,10.0,17,83.0,8858.0
203234,29325,6,11.0,1,5.0,325.0
152007,116538,5,16.0,3,3.0,226.0
187386,16816,6,5.0,1,2219.0,34356.0
148263,5254,5,5.0,3,2220.0,0.0
58509,189903,1,41.0,5,15.0,89.0
16485,221665,0,61.0,5,13.0,263.0
22888,15981,0,61.0,10,2300.0,442.0
20473,181683,0,61.0,8,9.0,653.0
252418,64519,8,10.0,17,152.0,10459.0
210450,80730,7,1.0,8,2893.0,64.0
